timestamp_utc,elapsed_s,mode,fan_speed_rpm,chamber_temp_f,probe_temp_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T20:44:57.105+00:00,0.001,temp,2100,103.6,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:44:57.677+00:00,0.573,temp,2100,103.6,76.6,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:44:58.676+00:00,1.572,temp,2100,87.3,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:44:59.177+00:00,2.073,temp,2100,89.6,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:44:59.677+00:00,2.573,temp,2100,91.8,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:00.677+00:00,3.573,temp,2100,92.7,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:01.177+00:00,4.073,temp,2100,93.2,76.6,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:01.677+00:00,4.573,temp,2100,93.7,75.2,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:02.677+00:00,5.573,temp,2100,94.1,76.6,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:03.177+00:00,6.073,temp,2100,93.2,76.6,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:04.176+00:00,7.073,temp,2100,94.1,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:04.678+00:00,7.574,temp,2850,93.2,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:05.677+00:00,8.573,temp,3000,86.9,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:06.180+00:00,9.076,temp,700,87.3,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:06.682+00:00,9.578,temp,1750,96.3,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:07.182+00:00,10.078,temp,2500,93.7,75.2,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:08.177+00:00,11.073,temp,2650,91.4,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:09.177+00:00,12.073,temp,2650,90.9,75.2,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:09.677+00:00,12.573,temp,2650,91.4,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:10.177+00:00,13.073,temp,2650,91.4,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:11.177+00:00,14.073,temp,2650,91.4,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:11.677+00:00,14.573,temp,2650,91.4,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:12.177+00:00,15.073,temp,2650,90.9,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:13.176+00:00,16.073,temp,2650,90.9,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:13.677+00:00,16.573,temp,2650,90.5,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:14.177+00:00,17.073,temp,2650,90.9,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:14.677+00:00,17.573,temp,2650,90.1,75.2,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:15.677+00:00,18.573,temp,2650,90.9,76.1,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:16.177+00:00,19.073,temp,2650,90.9,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:45:16.677+00:00,19.573,temp,2650,90.5,75.7,1,375.0,0.0,0.0,0,NONE
