timestamp_utc,elapsed_s,mode,fan_speed_rpm,chamber_temp_f,probe_temp_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T20:33:10.855+00:00,0.001,temp,2100,86.0,75.7,1,375.0,0.0,0.0,0,NONE
2026-09-16T20:33:11.489+00:00,0.635,temp,2100,73.8,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:11.989+00:00,1.135,temp,2100,70.7,74.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:12.989+00:00,2.136,temp,2100,76.1,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:13.490+00:00,2.636,temp,2100,77.0,76.1,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:14.488+00:00,3.634,temp,2100,77.0,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:14.990+00:00,4.136,temp,2100,80.2,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:15.988+00:00,5.134,temp,2100,81.5,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:16.488+00:00,5.635,temp,2100,82.4,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:16.990+00:00,6.136,temp,2100,84.2,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:17.989+00:00,7.136,temp,2100,84.7,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:18.990+00:00,8.136,temp,2100,88.2,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:19.989+00:00,9.135,temp,2100,89.6,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:20.990+00:00,10.136,temp,2100,94.1,75.2,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:21.989+00:00,11.135,temp,2100,94.6,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:22.989+00:00,12.136,temp,2100,99.1,75.2,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:23.490+00:00,12.636,temp,2100,100.4,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:24.489+00:00,13.636,temp,2100,100.8,76.1,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:24.989+00:00,14.136,temp,2100,103.1,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:25.489+00:00,14.636,temp,2100,104.9,75.2,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:26.489+00:00,15.635,temp,2100,107.2,76.1,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:26.989+00:00,16.135,temp,2100,108.1,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:27.489+00:00,16.635,temp,2100,111.2,75.7,1,375.0,100.0,0.0,0,NONE
2026-09-16T20:33:28.488+00:00,17.635,temp,2100,111.2,75.7,1,375.0,100.0,0.0,0,NONE
