timestamp_utc,elapsed_s,cook_type,cook_name,mode,fan_speed_rpm,chamber_temp_f,effective_probe_temp_f,probe_source,esp32_probe_temp_f,inkbird_connected,inkbird_internal_1_f,inkbird_internal_2_f,inkbird_internal_3_f,inkbird_internal_4_f,inkbird_ambient_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T22:44:31.411+00:00,0.009,manual,Manual cook,idle,0,120.2,80.0,inkbird_lowest_internal,77.4,1,80.0,82.51,80.88,81.18,84.2,1,,0.0,0.0,0,IDLE
2026-09-16T22:44:31.912+00:00,0.510,manual,Manual cook,temp,2100,108.9,80.0,inkbird_lowest_internal,77.4,1,80.0,82.51,80.88,81.18,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:32.911+00:00,1.509,manual,Manual cook,temp,2100,105.3,80.47,inkbird_lowest_internal,77.4,1,80.47,82.81,81.29,81.73,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:33.412+00:00,2.010,manual,Manual cook,temp,2100,108.5,80.47,inkbird_lowest_internal,77.0,1,80.47,82.81,81.29,81.73,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:33.913+00:00,2.511,manual,Manual cook,temp,2100,108.9,80.47,inkbird_lowest_internal,77.4,1,80.47,82.81,81.29,81.73,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:34.912+00:00,3.510,manual,Manual cook,temp,2100,110.7,80.88,inkbird_lowest_internal,77.9,1,80.88,83.06,81.66,82.04,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:35.412+00:00,4.010,manual,Manual cook,temp,2100,112.6,80.88,inkbird_lowest_internal,77.0,1,80.88,83.06,81.66,82.04,84.2,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:36.412+00:00,5.010,manual,Manual cook,temp,2100,113.0,81.24,inkbird_lowest_internal,77.9,1,81.24,83.28,81.97,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:36.912+00:00,5.510,manual,Manual cook,temp,2100,115.2,81.24,inkbird_lowest_internal,77.9,1,81.24,83.28,81.97,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:37.412+00:00,6.010,manual,Manual cook,temp,2100,117.1,81.24,inkbird_lowest_internal,77.0,1,81.24,83.28,81.97,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:38.411+00:00,7.010,manual,Manual cook,temp,2100,117.9,81.53,inkbird_lowest_internal,77.9,1,81.53,83.46,82.23,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:38.912+00:00,7.510,manual,Manual cook,temp,2100,120.2,81.53,inkbird_lowest_internal,76.6,1,81.53,83.46,82.23,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:39.412+00:00,8.010,manual,Manual cook,temp,2100,120.7,81.53,inkbird_lowest_internal,77.4,1,81.53,83.46,82.23,82.15,86.0,1,375.0,100.0,100.0,0,NONE
2026-09-16T22:44:40.412+00:00,9.010,manual,Manual cook,temp,2100,122.0,81.75,inkbird_lowest_internal,77.4,1,81.75,83.58,82.44,82.07,86.0,1,375.0,100.0,100.0,0,NONE
