timestamp_utc,elapsed_s,cook_type,cook_name,mode,fan_speed_rpm,chamber_temp_f,effective_probe_temp_f,probe_source,esp32_probe_temp_f,inkbird_connected,inkbird_internal_1_f,inkbird_internal_2_f,inkbird_internal_3_f,inkbird_internal_4_f,inkbird_ambient_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T23:31:33.661+00:00,0.013,routine,Fries,temp,3000,106.7,71.16,inkbird_lowest_internal,77.9,1,71.4,71.52,71.45,71.16,71.6,1,400.0,0.0,0.0,0,NONE
2026-09-16T23:31:34.451+00:00,0.803,routine,Fries,temp,3000,105.8,71.16,inkbird_lowest_internal,77.9,1,71.4,71.52,71.45,71.16,71.6,1,400.0,100.0,0.0,0,NONE
2026-09-16T23:31:35.451+00:00,1.803,routine,Fries,temp,3000,106.2,71.17,inkbird_lowest_internal,78.3,1,71.4,71.54,71.44,71.17,71.6,1,400.0,100.0,0.0,0,NONE
