timestamp_utc,elapsed_s,cook_type,cook_name,mode,fan_speed_rpm,chamber_temp_f,effective_probe_temp_f,probe_source,esp32_probe_temp_f,inkbird_connected,inkbird_internal_1_f,inkbird_internal_2_f,inkbird_internal_3_f,inkbird_internal_4_f,inkbird_ambient_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T23:31:53.057+00:00,0.012,manual,Manual cook,temp,1200,107.2,71.2,inkbird_lowest_internal,78.3,1,71.4,71.54,71.46,71.2,71.6,1,375.0,0.0,0.0,0,NONE
2026-09-16T23:31:53.950+00:00,0.905,manual,Manual cook,temp,1200,106.7,71.2,inkbird_lowest_internal,78.3,1,71.4,71.54,71.46,71.2,71.6,1,375.0,100.0,0.0,0,NONE
2026-09-16T23:31:54.950+00:00,1.905,manual,Manual cook,temp,1200,106.2,71.22,inkbird_lowest_internal,78.3,1,71.4,71.55,71.48,71.22,71.6,1,375.0,100.0,0.0,0,NONE
2026-09-16T23:31:55.451+00:00,2.406,manual,Manual cook,temp,1200,106.2,71.22,inkbird_lowest_internal,78.3,1,71.4,71.55,71.48,71.22,71.6,1,375.0,100.0,0.0,0,NONE
2026-09-16T23:31:56.450+00:00,3.405,manual,Manual cook,temp,1200,106.2,71.22,inkbird_lowest_internal,78.3,1,71.4,71.55,71.48,71.22,71.6,1,375.0,100.0,0.0,0,NONE
2026-09-16T23:31:56.950+00:00,3.905,manual,Manual cook,temp,1200,106.2,71.22,inkbird_lowest_internal,78.3,1,71.4,71.55,71.48,71.22,71.6,1,375.0,100.0,0.0,0,NONE
2026-09-16T23:31:57.451+00:00,4.406,manual,Manual cook,temp,1200,105.8,71.22,inkbird_lowest_internal,78.8,1,71.4,71.55,71.48,71.22,71.6,1,375.0,100.0,0.0,0,NONE
