timestamp_utc,elapsed_s,mode,fan_speed_rpm,chamber_temp_f,effective_probe_temp_f,probe_source,esp32_probe_temp_f,inkbird_connected,inkbird_internal_1_f,inkbird_internal_2_f,inkbird_internal_3_f,inkbird_internal_4_f,inkbird_ambient_f,drawer_closed,set_temperature_f,top_heater_duty_pct,bottom_heater_duty_pct,paused,fault
2026-09-16T22:13:31.101+00:00,0.001,temp,0,85.6,78.14,inkbird_lowest_internal,76.1,1,79.15,78.86,79.12,78.14,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:31.649+00:00,0.550,temp,0,84.7,78.02,inkbird_lowest_internal,76.6,1,79.02,78.74,79.01,78.02,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:32.150+00:00,1.051,temp,0,85.6,78.02,inkbird_lowest_internal,76.1,1,79.02,78.74,79.01,78.02,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:32.650+00:00,1.551,temp,0,85.6,78.02,inkbird_lowest_internal,76.1,1,79.02,78.74,79.01,78.02,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:33.150+00:00,2.051,temp,0,85.1,78.02,inkbird_lowest_internal,76.1,1,79.02,78.74,79.01,78.02,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:34.150+00:00,3.051,temp,0,84.7,77.9,inkbird_lowest_internal,76.1,1,78.9,78.64,78.89,77.9,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:34.651+00:00,3.552,temp,0,85.6,77.9,inkbird_lowest_internal,76.1,1,78.9,78.64,78.89,77.9,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:35.650+00:00,4.551,temp,0,85.6,77.8,inkbird_lowest_internal,76.1,1,78.77,78.53,78.77,77.8,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:36.151+00:00,5.052,temp,0,85.1,77.8,inkbird_lowest_internal,75.2,1,78.77,78.53,78.77,77.8,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:36.651+00:00,5.552,temp,0,85.6,77.8,inkbird_lowest_internal,76.1,1,78.77,78.53,78.77,77.8,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:37.650+00:00,6.551,temp,0,85.6,77.69,inkbird_lowest_internal,75.7,1,78.65,78.42,78.65,77.69,75.2,0,400.0,0.0,0.0,1,NONE
2026-09-16T22:13:38.150+00:00,7.051,temp,0,85.1,77.69,inkbird_lowest_internal,75.7,1,78.65,78.42,78.65,77.69,75.2,0,400.0,0.0,0.0,1,NONE
